TriggerName,FiringCount
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60_v4,3
HLT_HT430_DisplacedDijet40_DisplacedTrack_v17,3
HLT_MET120_IsoTrk50_v13,3
HLT_PFMET105_IsoTrk50_v5,3
HLT_MET105_IsoTrk50_v13,3
HLT_AK8PFJet230_SoftDropMass40_v5,3
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p05_v1,3
Dataset_HLTPhysics,3
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT380_v2,3
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05_v1,3
HLT_CaloMHT90_v8,3
HLT_AK8PFJet320_v20,3
HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v2,2
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT280_v1,2
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v5,2
HLT_Mu12eta2p3_v5,2
HLT_AK8PFJet400_v20,2
HLT_HT200_L1SingleLLPJet_DisplacedDijet60_DisplacedTrack_v5,2
HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v2,2
HLT_TripleJet110_35_35_Mjj650_PFMET110_v13,2
HLT_HT270_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v5,2
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1_v5,2
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_TriplePFJet_v1,2
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive_v5,2
HLT_TripleJet110_35_35_Mjj650_PFMET120_v13,2
HLT_HT650_DisplacedDijet60_Inclusive_v17,2
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v8,2
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive_v5,2
HLT_L1ETMHadSeeds_v5,2
HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive_v1,2
HLT_PFHT280_QuadPFJet30_v1,2
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_TriplePFJet_v2,2
HLT_Mu12eta2p3_PFJet40_v5,2
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v8,2
HLT_DiPFJetAve260_HFJEC_v3,2
HLT_CaloMET60_DTCluster50_v5,2
HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v10,2
HLT_Ele135_CaloIdVT_GsfTrkIdT_v12,2
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_MediumDeepTauPFTauHPS45_L2NN_eta2p1_v1,2
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_TriplePFJet_v2,2
HLT_QuadPFJet100_88_70_30_v2,2
HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v5,2
HLT_QuadPFJet105_88_75_30_v1,2
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75_v4,2
